id,direction,from,to,date,4:00-5:00am,5:00-6:00am,6:00-7:00am,7:00-8:00am,8:00-9:00am 
5572,west,east,west,2007-11-10,59,84,94,130,100
5573,north,south,north,2007-11-11,47,85,99,113,100
5574,south,north,south,2007-11-12,67,73,131,99,108
5575,east,west,east,2007-11-13,46,90,102,124,119
5576,west,east,west,2007-11-14,66,99,117,118,86
5577,north,south,north,2007-11-15,66,62,100,111,83
5578,south,north,south,2007-11-16,43,77,126,105,112
5579,east,west,east,2007-11-17,72,84,90,113,77
5580,west,east,west,2007-11-18,64,70,105,123,110
5581,north,south,north,2007-11-19,48,75,105,119,87
5582,south,north,south,2007-11-20,64,86,131,128,89
5583,east,west,east,2007-11-21,57,83,104,126,75
5584,west,east,west,2007-11-22,51,100,130,113,117
5585,north,south,north,2007-11-23,36,73,93,98,99
5586,south,north,south,2007-11-24,33,85,99,120,102
5587,east,west,east,2007-11-25,51,82,103,100,77
5588,west,east,west,2007-11-26,45,69,119,118,89
5589,north,south,north,2007-11-27,50,78,127,124,104
5590,south,north,south,2007-11-28,34,94,117,96,78
5591,east,west,east,2007-11-29,48,72,93,119,87
5592,west,east,west,2007-11-30,76,66,94,129,90
5593,north,south,north,2007-12-01,30,40,93,92,76
5594,south,north,south,2007-12-02,60,58,58,93,78
5595,east,west,east,2007-12-03,28,59,74,90,49
5596,west,east,west,2007-12-04,60,41,78,95,75
5597,north,south,north,2007-12-05,61,77,71,62,65
5598,south,north,south,2007-12-06,34,71,70,90,58
5599,east,west,east,2007-12-07,56,79,77,77,76
5600,west,east,west,2007-12-08,30,46,93,66,65
5601,north,south,north,2007-12-09,62,77,74,68,70
5602,south,north,south,2007-12-10,60,44,75,68,45
5603,east,west,east,2007-12-11,65,71,89,84,47
5604,west,east,west,2007-12-12,55,71,87,64,50
5605,north,south,north,2007-12-13,64,56,91,98,58
5606,south,north,south,2007-12-14,27,79,90,93,81
5607,east,west,east,2007-12-15,32,57,55,84,55
5608,west,east,west,2007-12-16,47,57,55,97,86
5609,north,south,north,2007-12-17,47,75,76,94,46
5610,south,north,south,2007-12-18,28,61,89,90,87
5611,east,west,east,2007-12-19,50,61,88,96,82
5612,west,east,west,2007-12-20,32,73,91,94,51
5613,north,south,north,2007-12-21,60,41,61,66,52
5614,south,north,south,2007-12-22,63,59,86,93,68
5615,east,west,east,2007-12-23,29,77,56,82,83
5616,west,east,west,2007-12-24,28,74,62,61,69
5617,north,south,north,2007-12-25,48,42,92,82,67
5618,south,north,south,2007-12-26,45,79,73,60,74
5619,east,west,east,2007-12-27,57,71,75,98,62
5620,west,east,west,2007-12-28,45,49,87,91,63
5621,north,south,north,2007-12-29,41,50,59,76,59
5622,south,north,south,2007-12-30,40,55,57,69,83
5623,east,west,east,2007-12-31,50,57,61,68,62
5624,west,east,west,2008-01-01,48,90,75,97,59
5625,north,south,north,2008-01-02,69,62,70,79,67
5626,south,north,south,2008-01-03,48,46,70,97,91
5627,east,west,east,2008-01-04,71,79,64,90,77
5628,west,east,west,2008-01-05,70,83,72,71,99
5629,north,south,north,2008-01-06,67,72,74,74,68
5630,south,north,south,2008-01-07,38,64,70,90,97
5631,east,west,east,2008-01-08,44,71,103,113,87
5632,west,east,west,2008-01-09,66,63,89,78,56
5633,north,south,north,2008-01-10,66,57,97,90,68
5634,south,north,south,2008-01-11,38,78,89,78,53
5635,east,west,east,2008-01-12,63,73,75,73,92
5636,west,east,west,2008-01-13,50,46,74,77,81
5637,north,south,north,2008-01-14,61,46,91,102,98
5638,south,north,south,2008-01-15,45,68,83,87,85
5639,east,west,east,2008-01-16,65,83,65,77,88
5640,west,east,west,2008-01-17,31,84,75,71,54
5641,north,south,north,2008-01-18,56,78,83,74,93
5642,south,north,south,2008-01-19,72,84,102,71,58
5643,east,west,east,2008-01-20,32,72,106,90,64
5644,west,east,west,2008-01-21,36,71,83,79,52
5645,north,south,north,2008-01-22,64,68,67,109,70
5646,south,north,south,2008-01-23,37,82,97,104,95
5647,east,west,east,2008-01-24,45,68,99,79,76
5648,west,east,west,2008-01-25,69,51,70,76,64
5649,north,south,north,2008-01-26,28,72,65,77,81
5650,south,north,south,2008-01-27,66,74,84,70,72
5651,east,west,east,2008-01-28,54,54,97,72,85
5652,west,east,west,2008-01-29,61,49,68,106,68
5653,north,south,north,2008-01-30,55,66,103,77,65
5654,south,north,south,2008-01-31,32,72,67,90,67
5655,east,west,east,2008-02-01,72,72,83,103,108
5656,west,east,west,2008-02-02,77,60,80,120,76
5657,north,south,north,2008-02-03,49,86,121,113,114
5658,south,north,south,2008-02-04,72,61,84,132,80
5659,east,west,east,2008-02-05,65,68,96,88,77
5660,west,east,west,2008-02-06,75,78,97,122,113
5661,north,south,north,2008-02-07,42,79,102,132,86
5662,south,north,south,2008-02-08,63,84,128,91,106
5663,east,west,east,2008-02-09,74,66,108,116,79
5664,west,east,west,2008-02-10,70,67,109,112,96
5665,north,south,north,2008-02-11,35,64,119,116,78
5666,south,north,south,2008-02-12,71,84,123,105,84
5667,east,west,east,2008-02-13,59,64,103,94,72
5668,west,east,west,2008-02-14,40,84,84,107,96
5669,north,south,north,2008-02-15,68,61,112,88,104
5670,south,north,south,2008-02-16,64,104,96,117,87
5671,east,west,east,2008-02-17,64,64,111,96,94
5672,west,east,west,2008-02-18,49,103,104,122,119
5673,north,south,north,2008-02-19,65,100,80,93,99
5674,south,north,south,2008-02-20,80,89,87,128,65
5675,east,west,east,2008-02-21,80,92,118,117,78
5676,west,east,west,2008-02-22,55,78,82,101,112
5677,north,south,north,2008-02-23,43,98,103,91,68
5678,south,north,south,2008-02-24,52,74,116,134,98
5679,east,west,east,2008-02-25,48,77,118,111,92
5680,west,east,west,2008-02-26,47,99,108,100,76
5681,north,south,north,2008-02-27,52,82,112,94,101
5682,south,north,south,2008-02-28,63,88,104,110,87
5683,east,west,east,2008-02-29,64,99,106,100,79
5684,west,east,west,2008-03-01,74,117,131,151,116
5685,north,south,north,2008-03-02,69,96,124,122,107
5686,south,north,south,2008-03-03,54,83,127,109,80
5687,east,west,east,2008-03-04,83,105,137,119,104
5688,west,east,west,2008-03-05,57,82,112,111,101
5689,north,south,north,2008-03-06,55,88,125,134,79
5690,south,north,south,2008-03-07,44,73,130,123,97
5691,east,west,east,2008-03-08,59,70,101,119,97
5692,west,east,west,2008-03-09,40,117,97,158,125
5693,north,south,north,2008-03-10,69,82,124,146,88
5694,south,north,south,2008-03-11,53,93,136,155,98
5695,east,west,east,2008-03-12,77,84,99,125,105
5696,west,east,west,2008-03-13,37,88,142,127,123
5697,north,south,north,2008-03-14,79,87,124,129,114
5698,south,north,south,2008-03-15,88,67,145,134,81
5699,east,west,east,2008-03-16,80,70,103,153,101
5700,west,east,west,2008-03-17,53,98,130,142,97
5701,north,south,north,2008-03-18,71,68,104,142,111
5702,south,north,south,2008-03-19,79,97,142,142,78
5703,east,west,east,2008-03-20,59,76,141,136,80
5704,west,east,west,2008-03-21,77,68,129,132,132
5705,north,south,north,2008-03-22,80,93,130,140,118
5706,south,north,south,2008-03-23,75,83,123,158,113
5707,east,west,east,2008-03-24,59,118,102,110,133
5708,west,east,west,2008-03-25,45,72,137,113,110
5709,north,south,north,2008-03-26,88,99,99,144,95
5710,south,north,south,2008-03-27,69,106,145,119,120
5711,east,west,east,2008-03-28,69,108,131,144,82
5712,west,east,west,2008-03-29,52,90,133,107,89
5713,north,south,north,2008-03-30,59,77,110,141,88
5714,south,north,south,2008-03-31,44,115,139,139,87
5715,east,west,east,2008-04-01,80,66,143,142,106
5716,west,east,west,2008-04-02,84,113,117,125,127
5717,north,south,north,2008-04-03,72,101,120,142,104
5718,south,north,south,2008-04-04,79,96,123,123,94
5719,east,west,east,2008-04-05,37,84,143,138,105
5720,west,east,west,2008-04-06,56,90,128,140,118
5721,north,south,north,2008-04-07,45,93,112,124,77
5722,south,north,south,2008-04-08,82,114,124,153,101
5723,east,west,east,2008-04-09,59,83,126,126,97
5724,west,east,west,2008-04-10,44,94,146,124,133
5725,north,south,north,2008-04-11,51,115,102,153,94
5726,south,north,south,2008-04-12,88,110,123,142,106
5727,east,west,east,2008-04-13,68,71,129,125,113
5728,west,east,west,2008-04-14,60,91,108,138,106
5729,north,south,north,2008-04-15,61,83,112,157,118
5730,south,north,south,2008-04-16,70,113,97,124,110
5731,east,west,east,2008-04-17,72,78,115,106,117
5732,west,east,west,2008-04-18,48,112,137,123,118
5733,north,south,north,2008-04-19,70,72,144,110,102
5734,south,north,south,2008-04-20,52,80,121,108,105
5735,east,west,east,2008-04-21,67,75,113,157,98
5736,west,east,west,2008-04-22,61,92,128,141,97
5737,north,south,north,2008-04-23,54,85,102,143,99
5738,south,north,south,2008-04-24,56,83,137,134,112
5739,east,west,east,2008-04-25,37,83,130,129,90
5740,west,east,west,2008-04-26,71,71,129,141,85
5741,north,south,north,2008-04-27,56,100,144,150,97
5742,south,north,south,2008-04-28,87,70,120,116,116
5743,east,west,east,2008-04-29,50,67,140,154,120
5744,west,east,west,2008-04-30,42,101,141,115,101
5745,north,south,north,2008-05-01,43,100,126,128,92
5746,south,north,south,2008-05-02,52,73,84,120,80
5747,east,west,east,2008-05-03,49,87,123,126,96
5748,west,east,west,2008-05-04,71,59,91,94,108
5749,north,south,north,2008-05-05,36,99,116,100,101
5750,south,north,south,2008-05-06,36,60,117,135,104
5751,east,west,east,2008-05-07,45,88,127,120,68
5752,west,east,west,2008-05-08,50,76,84,104,119
5753,north,south,north,2008-05-09,76,72,119,104,116
5754,south,north,south,2008-05-10,48,84,104,116,91
5755,east,west,east,2008-05-11,44,57,114,108,86
5756,west,east,west,2008-05-12,60,67,112,102,76
5757,north,south,north,2008-05-13,56,56,92,123,86
5758,south,north,south,2008-05-14,32,57,120,131,82
5759,east,west,east,2008-05-15,71,103,96,103,90
5760,west,east,west,2008-05-16,32,61,119,108,98
5761,north,south,north,2008-05-17,55,61,83,93,96
5762,south,north,south,2008-05-18,45,84,117,120,104
5763,east,west,east,2008-05-19,79,62,127,96,96
5764,west,east,west,2008-05-20,51,59,100,132,64
5765,north,south,north,2008-05-21,36,102,86,109,107
5766,south,north,south,2008-05-22,33,60,108,97,88
5767,east,west,east,2008-05-23,76,82,81,88,100
5768,west,east,west,2008-05-24,56,96,96,136,96
5769,north,south,north,2008-05-25,72,88,97,104,103
5770,south,north,south,2008-05-26,63,94,81,92,73
5771,east,west,east,2008-05-27,36,60,84,131,96
5772,west,east,west,2008-05-28,54,61,81,105,85
5773,north,south,north,2008-05-29,48,96,125,121,82
5774,south,north,south,2008-05-30,52,79,98,96,80
5775,east,west,east,2008-05-31,34,104,92,122,88
5776,west,east,west,2008-06-01,49,80,89,97,103
5777,north,south,north,2008-06-02,57,72,79,86,94
5778,south,north,south,2008-06-03,37,84,112,125,110
5779,east,west,east,2008-06-04,36,51,115,121,103
5780,west,east,west,2008-06-05,31,89,81,87,93
5781,north,south,north,2008-06-06,69,57,100,90,74
5782,south,north,south,2008-06-07,48,54,101,86,100
5783,east,west,east,2008-06-08,49,58,94,115,82
5784,west,east,west,2008-06-09,57,74,97,104,60
5785,north,south,north,2008-06-10,64,97,99,83,93
5786,south,north,south,2008-06-11,53,73,72,81,104
5787,east,west,east,2008-06-12,62,53,105,115,106
5788,west,east,west,2008-06-13,32,94,78,122,90
5789,north,south,north,2008-06-14,37,85,76,89,58
5790,south,north,south,2008-06-15,43,84,80,81,65
5791,east,west,east,2008-06-16,38,51,93,111,95
5792,west,east,west,2008-06-17,73,90,110,94,72
5793,north,south,north,2008-06-18,30,73,113,106,108
5794,south,north,south,2008-06-19,69,60,73,105,74
5795,east,west,east,2008-06-20,38,83,94,93,84
5796,west,east,west,2008-06-21,62,77,110,118,69
5797,north,south,north,2008-06-22,40,61,90,87,94
5798,south,north,south,2008-06-23,40,74,96,106,78
5799,east,west,east,2008-06-24,41,92,109,80,94
5800,west,east,west,2008-06-25,37,71,106,118,77
5801,north,south,north,2008-06-26,69,73,104,114,87
5802,south,north,south,2008-06-27,67,83,84,108,83
5803,east,west,east,2008-06-28,48,57,82,105,72
5804,west,east,west,2008-06-29,32,86,117,87,91
5805,north,south,north,2008-06-30,40,53,92,118,75
5806,south,north,south,2008-07-01,34,74,57,85,57
5807,east,west,east,2008-07-02,26,47,81,97,51
5808,west,east,west,2008-07-03,66,79,63,68,54
5809,north,south,north,2008-07-04,33,80,61,64,88
5810,south,north,south,2008-07-05,32,78,93,62,55
5811,east,west,east,2008-07-06,47,81,90,62,64
5812,west,east,west,2008-07-07,29,64,89,78,51
5813,north,south,north,2008-07-08,50,49,59,102,79
5814,south,north,south,2008-07-09,66,82,78,101,50
5815,east,west,east,2008-07-10,67,75,63,83,46
5816,west,east,west,2008-07-11,66,79,95,84,51
5817,north,south,north,2008-07-12,29,83,82,64,55
5818,south,north,south,2008-07-13,65,75,74,102,90
5819,east,west,east,2008-07-14,68,75,91,62,89
5820,west,east,west,2008-07-15,49,47,61,93,70
5821,north,south,north,2008-07-16,60,58,59,79,53
5822,south,north,south,2008-07-17,28,65,75,66,51
5823,east,west,east,2008-07-18,30,42,59,70,51
5824,west,east,west,2008-07-19,28,76,80,68,50
5825,north,south,north,2008-07-20,60,73,96,79,70
5826,south,north,south,2008-07-21,51,59,78,61,79
5827,east,west,east,2008-07-22,51,51,88,95,86
5828,west,east,west,2008-07-23,32,81,91,86,73
5829,north,south,north,2008-07-24,48,57,63,94,87
5830,south,north,south,2008-07-25,26,73,60,99,59
5831,east,west,east,2008-07-26,33,82,75,80,86
5832,west,east,west,2008-07-27,51,62,97,66,72
5833,north,south,north,2008-07-28,63,65,80,97,75
5834,south,north,south,2008-07-29,43,82,60,97,65
5835,east,west,east,2008-07-30,44,66,92,61,51
5836,west,east,west,2008-07-31,34,50,98,69,50
5837,north,south,north,2008-08-01,67,68,73,110,58
5838,south,north,south,2008-08-02,64,85,100,76,77
5839,east,west,east,2008-08-03,67,63,65,97,71
5840,west,east,west,2008-08-04,29,62,68,111,55
5841,north,south,north,2008-08-05,64,79,99,103,55
5842,south,north,south,2008-08-06,30,66,108,89,61
5843,east,west,east,2008-08-07,61,55,88,97,81
5844,west,east,west,2008-08-08,45,71,106,89,94
5845,north,south,north,2008-08-09,51,83,81,109,85
5846,south,north,south,2008-08-10,38,64,72,104,63
5847,east,west,east,2008-08-11,54,51,103,77,69
5848,west,east,west,2008-08-12,63,88,69,77,84
5849,north,south,north,2008-08-13,50,85,99,79,97
5850,south,north,south,2008-08-14,61,65,105,106,76
5851,east,west,east,2008-08-15,34,49,67,114,93
5852,west,east,west,2008-08-16,65,79,66,86,91
5853,north,south,north,2008-08-17,70,85,90,103,102
5854,south,north,south,2008-08-18,36,84,91,103,87
5855,east,west,east,2008-08-19,64,55,87,98,75
5856,west,east,west,2008-08-20,70,56,81,87,71
5857,north,south,north,2008-08-21,56,57,76,91,99
5858,south,north,south,2008-08-22,35,47,84,76,70
5859,east,west,east,2008-08-23,34,65,101,104,100
5860,west,east,west,2008-08-24,70,54,71,95,69
5861,north,south,north,2008-08-25,48,56,86,96,81
5862,south,north,south,2008-08-26,38,80,80,95,53
5863,east,west,east,2008-08-27,65,84,92,74,81
5864,west,east,west,2008-08-28,72,73,96,75,78
5865,north,south,north,2008-08-29,55,67,88,111,87
5866,south,north,south,2008-08-30,38,80,73,78,97
5867,east,west,east,2008-08-31,54,48,84,97,88
5868,west,east,west,2008-09-01,68,80,83,88,75
5869,north,south,north,2008-09-02,57,88,100,131,65
5870,south,north,south,2008-09-03,46,90,102,117,113
5871,east,west,east,2008-09-04,52,88,115,92,92
5872,west,east,west,2008-09-05,48,85,103,96,70
5873,north,south,north,2008-09-06,61,84,126,113,85
5874,south,north,south,2008-09-07,56,89,99,98,97
5875,east,west,east,2008-09-08,60,96,88,120,92
5876,west,east,west,2008-09-09,50,88,103,108,80
5877,north,south,north,2008-09-10,70,92,89,117,84
5878,south,north,south,2008-09-11,32,62,123,106,67
5879,east,west,east,2008-09-12,59,79,126,96,83
5880,west,east,west,2008-09-13,48,80,113,95,77
5881,north,south,north,2008-09-14,40,84,94,97,104
5882,south,north,south,2008-09-15,45,72,85,112,108
5883,east,west,east,2008-09-16,75,70,88,129,72
5884,west,east,west,2008-09-17,64,72,124,93,117
5885,north,south,north,2008-09-18,64,75,124,113,89
5886,south,north,south,2008-09-19,60,97,121,103,72
5887,east,west,east,2008-09-20,38,92,107,96,112
5888,west,east,west,2008-09-21,46,60,115,124,85
5889,north,south,north,2008-09-22,64,68,95,104,88
5890,south,north,south,2008-09-23,70,69,126,106,100
5891,east,west,east,2008-09-24,45,66,82,95,113
5892,west,east,west,2008-09-25,41,76,113,97,105
5893,north,south,north,2008-09-26,65,79,127,124,80
5894,south,north,south,2008-09-27,56,58,101,96,108
5895,east,west,east,2008-09-28,68,75,119,90,87
5896,west,east,west,2008-09-29,75,104,81,124,76
5897,north,south,north,2008-09-30,68,74,101,106,114
5898,south,north,south,2008-10-01,63,101,114,129,86
5899,east,west,east,2008-10-02,85,100,98,156,121
5900,west,east,west,2008-10-03,84,71,102,115,115
5901,north,south,north,2008-10-04,60,115,147,132,112
5902,south,north,south,2008-10-05,86,108,119,123,110
5903,east,west,east,2008-10-06,42,98,108,128,95
5904,west,east,west,2008-10-07,47,114,142,137,81
5905,north,south,north,2008-10-08,88,67,146,142,125
5906,south,north,south,2008-10-09,49,102,117,124,92
5907,east,west,east,2008-10-10,79,94,135,123,100
5908,west,east,west,2008-10-11,79,76,113,139,116
5909,north,south,north,2008-10-12,68,92,96,117,133
5910,south,north,south,2008-10-13,51,117,115,124,119
5911,east,west,east,2008-10-14,62,97,131,142,92
5912,west,east,west,2008-10-15,88,84,121,141,96
5913,north,south,north,2008-10-16,41,98,118,136,117
5914,south,north,south,2008-10-17,72,88,134,140,115
5915,east,west,east,2008-10-18,85,73,130,124,101
5916,west,east,west,2008-10-19,72,86,116,158,117
5917,north,south,north,2008-10-20,44,82,125,108,115
5918,south,north,south,2008-10-21,46,107,99,148,101
5919,east,west,east,2008-10-22,52,115,120,108,88
5920,west,east,west,2008-10-23,85,98,136,111,108
5921,north,south,north,2008-10-24,87,99,96,137,102
5922,south,north,south,2008-10-25,88,89,123,140,118
5923,east,west,east,2008-10-26,72,74,110,118,127
5924,west,east,west,2008-10-27,48,67,125,106,92
5925,north,south,north,2008-10-28,58,82,102,148,112
5926,south,north,south,2008-10-29,72,100,121,140,130
5927,east,west,east,2008-10-30,39,67,98,136,105
5928,west,east,west,2008-10-31,68,96,141,126,110
5929,north,south,north,2008-11-01,40,72,123,122,80
5930,south,north,south,2008-11-02,49,98,93,136,112
5931,east,west,east,2008-11-03,44,71,105,129,102
5932,west,east,west,2008-11-04,59,95,122,113,92
5933,north,south,north,2008-11-05,78,95,127,117,120
5934,south,north,south,2008-11-06,75,70,107,124,126
5935,east,west,east,2008-11-07,63,77,105,100,77
5936,west,east,west,2008-11-08,78,96,94,101,104
5937,north,south,north,2008-11-09,37,93,122,101,97
5938,south,north,south,2008-11-10,46,95,113,136,86
5939,east,west,east,2008-11-11,65,110,135,133,86
5940,west,east,west,2008-11-12,46,72,113,122,84
5941,north,south,north,2008-11-13,80,103,96,142,106
5942,south,north,south,2008-11-14,80,111,109,121,120
5943,east,west,east,2008-11-15,74,93,111,130,92
5944,west,east,west,2008-11-16,51,77,130,131,84
5945,north,south,north,2008-11-17,72,94,113,111,72
5946,south,north,south,2008-11-18,38,70,106,140,88
5947,east,west,east,2008-11-19,63,107,104,134,126
5948,west,east,west,2008-11-20,66,72,120,133,121
5949,north,south,north,2008-11-21,52,101,106,100,90
5950,south,north,south,2008-11-22,82,93,121,138,103
5951,east,west,east,2008-11-23,38,106,123,102,84
5952,west,east,west,2008-11-24,66,80,111,137,73
5953,north,south,north,2008-11-25,77,84,125,142,89
5954,south,north,south,2008-11-26,39,70,118,125,76
5955,east,west,east,2008-11-27,34,87,122,98,89
5956,west,east,west,2008-11-28,54,83,131,113,93
5957,north,south,north,2008-11-29,72,104,91,117,87
5958,south,north,south,2008-11-30,58,88,122,125,125
5959,east,west,east,2008-12-01,58,61,79,103,81
5960,west,east,west,2008-12-02,46,51,96,69,75
5961,north,south,north,2008-12-03,31,58,77,83,53
5962,south,north,south,2008-12-04,48,80,73,79,90
5963,east,west,east,2008-12-05,32,81,74,71,84
5964,west,east,west,2008-12-06,47,60,93,98,47
5965,north,south,north,2008-12-07,62,77,61,77,65
5966,south,north,south,2008-12-08,67,80,60,86,91
5967,east,west,east,2008-12-09,35,77,88,87,80
5968,west,east,west,2008-12-10,63,77,80,80,92
5969,north,south,north,2008-12-11,47,57,64,100,51
5970,south,north,south,2008-12-12,34,57,79,82,75
5971,east,west,east,2008-12-13,49,66,66,62,86
5972,west,east,west,2008-12-14,31,41,61,68,78
5973,north,south,north,2008-12-15,60,63,60,96,63
5974,south,north,south,2008-12-16,31,47,66,62,68
5975,east,west,east,2008-12-17,30,49,98,103,69
5976,west,east,west,2008-12-18,59,79,65,99,70
5977,north,south,north,2008-12-19,58,65,79,77,89
5978,south,north,south,2008-12-20,45,78,72,96,92
5979,east,west,east,2008-12-21,29,81,97,63,59
5980,west,east,west,2008-12-22,68,45,92,84,89
5981,north,south,north,2008-12-23,30,49,82,96,92
5982,south,north,south,2008-12-24,29,64,63,70,56
5983,east,west,east,2008-12-25,33,63,60,77,57
5984,west,east,west,2008-12-26,34,76,97,98,72
5985,north,south,north,2008-12-27,30,76,75,85,58
5986,south,north,south,2008-12-28,30,45,96,82,79
5987,east,west,east,2008-12-29,65,76,61,86,91
5988,west,east,west,2008-12-30,49,66,80,85,85
5989,north,south,north,2008-12-31,29,62,57,86,59
5990,south,north,south,2009-01-01,69,86,83,74,61
5991,east,west,east,2009-01-02,65,76,83,109,82
5992,west,east,west,2009-01-03,46,57,76,111,56
5993,north,south,north,2009-01-04,57,49,86,80,85
5994,south,north,south,2009-01-05,35,73,106,112,101
5995,east,west,east,2009-01-06,48,74,75,114,86
5996,west,east,west,2009-01-07,70,57,105,88,71
5997,north,south,north,2009-01-08,35,65,109,94,84
5998,south,north,south,2009-01-09,63,91,85,107,97
5999,east,west,east,2009-01-10,66,68,103,76,93
6000,west,east,west,2009-01-11,69,59,92,83,57
6001,north,south,north,2009-01-12,41,59,91,111,58
6002,south,north,south,2009-01-13,73,71,99,74,74
6003,east,west,east,2009-01-14,32,54,83,75,96
6004,west,east,west,2009-01-15,70,85,89,72,69
6005,north,south,north,2009-01-16,32,71,101,112,74
6006,south,north,south,2009-01-17,69,66,92,97,89
6007,east,west,east,2009-01-18,70,48,85,75,73
6008,west,east,west,2009-01-19,47,57,68,114,58
6009,north,south,north,2009-01-20,54,59,89,110,65
6010,south,north,south,2009-01-21,46,53,72,105,96
6011,east,west,east,2009-01-22,53,74,88,89,100
6012,west,east,west,2009-01-23,63,73,91,112,54
6013,north,south,north,2009-01-24,32,89,105,107,86
6014,south,north,south,2009-01-25,53,49,108,94,71
6015,east,west,east,2009-01-26,29,67,76,77,83
6016,west,east,west,2009-01-27,47,47,86,72,102
6017,north,south,north,2009-01-28,74,85,89,89,80
6018,south,north,south,2009-01-29,38,67,107,71,63
6019,east,west,east,2009-01-30,67,90,89,82,65
6020,west,east,west,2009-01-31,52,91,86,89,70
6021,north,south,north,2009-02-01,59,90,119,113,111
6022,south,north,south,2009-02-02,36,80,100,126,102
6023,east,west,east,2009-02-03,80,101,103,125,122
6024,west,east,west,2009-02-04,34,68,124,97,94
6025,north,south,north,2009-02-05,71,93,95,113,99
6026,south,north,south,2009-02-06,49,57,112,128,100
6027,east,west,east,2009-02-07,35,58,95,125,76
6028,west,east,west,2009-02-08,67,70,116,133,103
6029,north,south,north,2009-02-09,71,69,93,110,90
6030,south,north,south,2009-02-10,68,71,81,106,100
6031,east,west,east,2009-02-11,81,101,92,114,116
6032,west,east,west,2009-02-12,47,86,106,90,90
6033,north,south,north,2009-02-13,47,91,98,136,75
6034,south,north,south,2009-02-14,50,86,93,90,111
6035,east,west,east,2009-02-15,39,84,113,119,102
6036,west,east,west,2009-02-16,33,107,120,98,92
6037,north,south,north,2009-02-17,55,99,119,136,103
6038,south,north,south,2009-02-18,68,91,107,89,117
6039,east,west,east,2009-02-19,55,61,99,119,112
6040,west,east,west,2009-02-20,36,105,127,135,119
6041,north,south,north,2009-02-21,58,67,120,94,105
6042,south,north,south,2009-02-22,78,71,118,89,105
6043,east,west,east,2009-02-23,63,96,111,123,85
6044,west,east,west,2009-02-24,61,89,91,112,114
6045,north,south,north,2009-02-25,75,65,102,137,93
6046,south,north,south,2009-02-26,39,101,91,138,101
6047,east,west,east,2009-02-27,45,61,92,97,72
6048,west,east,west,2009-02-28,76,85,93,96,97
6049,north,south,north,2009-03-01,50,73,134,125,116
6050,south,north,south,2009-03-02,54,117,116,141,134
6051,east,west,east,2009-03-03,63,94,120,121,80
6052,west,east,west,2009-03-04,42,102,109,145,115
6053,north,south,north,2009-03-05,80,98,106,123,121
6054,south,north,south,2009-03-06,81,102,150,124,96
6055,east,west,east,2009-03-07,85,81,138,121,132
6056,west,east,west,2009-03-08,38,83,145,154,120
6057,north,south,north,2009-03-09,70,120,149,141,93
6058,south,north,south,2009-03-10,89,95,138,112,113
6059,east,west,east,2009-03-11,57,104,149,144,122
6060,west,east,west,2009-03-12,81,86,137,154,91
6061,north,south,north,2009-03-13,48,93,114,126,91
6062,south,north,south,2009-03-14,60,113,117,154,99
6063,east,west,east,2009-03-15,73,116,133,127,84
6064,west,east,west,2009-03-16,71,90,127,119,106
6065,north,south,north,2009-03-17,54,75,136,134,99
6066,south,north,south,2009-03-18,83,73,99,118,77
6067,east,west,east,2009-03-19,52,119,97,146,82
6068,west,east,west,2009-03-20,41,84,112,137,109
6069,north,south,north,2009-03-21,75,117,146,146,112
6070,south,north,south,2009-03-22,83,97,135,131,112
6071,east,west,east,2009-03-23,86,97,140,139,131
6072,west,east,west,2009-03-24,87,71,148,149,111
6073,north,south,north,2009-03-25,57,74,148,131,108
6074,south,north,south,2009-03-26,71,96,149,133,136
6075,east,west,east,2009-03-27,47,70,113,122,105
6076,west,east,west,2009-03-28,55,77,147,148,97
6077,north,south,north,2009-03-29,90,88,114,133,141
6078,south,north,south,2009-03-30,68,104,99,121,85
6079,east,west,east,2009-03-31,68,101,149,115,102
6080,west,east,west,2009-04-01,54,68,131,136,106
6081,north,south,north,2009-04-02,41,120,101,139,122
6082,south,north,south,2009-04-03,55,82,100,145,103
6083,east,west,east,2009-04-04,55,88,102,107,139
6084,west,east,west,2009-04-05,63,102,129,133,105
6085,north,south,north,2009-04-06,76,115,130,141,85
6086,south,north,south,2009-04-07,67,96,115,143,132
6087,east,west,east,2009-04-08,76,83,111,153,126
6088,west,east,west,2009-04-09,37,95,131,160,122
6089,north,south,north,2009-04-10,56,102,131,126,126
6090,south,north,south,2009-04-11,68,117,135,157,126
6091,east,west,east,2009-04-12,58,110,145,144,104
6092,west,east,west,2009-04-13,40,90,144,107,100
6093,north,south,north,2009-04-14,44,117,142,126,140
6094,south,north,south,2009-04-15,78,72,136,127,88
6095,east,west,east,2009-04-16,87,102,115,113,138
6096,west,east,west,2009-04-17,64,74,110,146,105
6097,north,south,north,2009-04-18,84,103,146,131,100
6098,south,north,south,2009-04-19,50,93,143,143,140
6099,east,west,east,2009-04-20,74,121,134,136,118
6100,west,east,west,2009-04-21,52,71,116,114,104
6101,north,south,north,2009-04-22,54,106,145,140,122
6102,south,north,south,2009-04-23,85,74,97,124,96
6103,east,west,east,2009-04-24,56,69,116,116,97
6104,west,east,west,2009-04-25,48,70,121,125,128
6105,north,south,north,2009-04-26,55,90,116,153,92
6106,south,north,south,2009-04-27,67,79,97,128,120
6107,east,west,east,2009-04-28,57,93,129,160,112
